Laboratory_number;Radiocarbon age (years BP);Error;delta_C13;delta_N15;C:N;%C;%collagen;Calculation details;Laboratory treatment;Calibration used;Dated material;Context;Site;Country;Source;Group;Subgroup;Notes
Gd-6522;4350;120;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From an animal deposit in feaure 123;Opatowice 36/123;Poland;"Kosko and Szmyt 2015, 482; M�ller 2023, Supplement 9; cf.Szmyt 2001,38-39; Szmyt 1996 in M�ller 2023, Supplement 9";GA;C;R-combine with Poz-57540, Ki-5136
Poz-57540;4210;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From an animal deposit in feaure 123;Opatowice 36/123;Poland;"Kosko and Szmyt 2015, 482; M�ller 2023, Supplement 9; cf.Szmyt 2001,38-39; Szmyt 1996 in M�ller 2023, Supplement 9";GA;C;R-combine with Gd-6522, Ki-5136
Ki-5136;4180;70;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From an animal deposit in feaure 123;Opatowice 36/123;Poland;"Kosko and Szmyt 2015, 482; M�ller 2023, Supplement 9; cf.Szmyt 2001,38-39; Szmyt 1996 in M�ller 2023, Supplement 9";GA;C;R-combine with Gd-6522, Poz-57540
Gd-6438;4010;100;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From an animal deposition in feature B2;Opatowice 36/67;Poland;"Kosko and Szmyt 2015, 482; M�ller 2023, Supplement 9; cf.Szmyt 2001,38-39; Szmyt 1996 in M�ller 2023, Supplement 9";GA;C;
MAMS-30072;4221;22;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, petrous bone);From burial in pit;Ilyatka;Ukraine;"Mathieson et al. 2018 Supplementary table 1, Supplementary Information p.39; M�ller 2023, Supplement 9; ";GA;C;
MAMS-30073;4192;22;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, petrous bone);From burial in pit;Ilyatka;Ukraine;"Mathieson et al. 2018 Supplementary table 1, Supplementary Information p.39; M�ller 2023, Supplement 9; ";GA;C;
MAMS-30074;4225;22;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, petrous bone);From burial in pit;Ilyatka;Ukraine;"Mathieson et al. 2018 Supplementary table 1, Supplementary Information p.39; M�ller 2023, Supplement 9; ";GA;C;
Poz-58109;4335;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From grave 5/56;Raciborowice-Kolonia 2;Poland;"M�ller 2023, Supplement 9; Bronicki 2019, 204-105; W?odarczak 2016, 542; Polanska 2016, 32";GA;C;
OxA-23438;4136;28;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial in grave cist;Depu?tycze Nowe-Kolonia 12;Poland;"M�ller 2023, Supplement 9; W?odarczak 2016, 538; Bronicki 2019, 204-205; W?odarczak and Przyby?a 2013";GA;C;
Poz-44433;4310;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Bos sp., anatomy indet.);From pit 2555 with cattle burial;Ludwinowo;Poland;Novak 2017 in M�ller 2023, Supplement 9;GA;C;
Poz-44431;4440;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From grave pit 1585 with inhumation;Ludwinowo;Poland;Novak 2017 in M�ller 2023, Supplement 9;GA;C;
Poz-44430;4370;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From grave pit 1585, second inhumation;Ludwinowo;Poland;Novak 2017 in M�ller 2023, Supplement 9;GA;C;
Poz-44432;4320;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial in grave pit 1585;Ludwinowo;Poland;Novak 2017 in M�ller 2023, Supplement 9;GA;C;
Poz-44485;4100;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial in grave pit 1558;Ludwinowo;Poland;Novak 2017 in M�ller 2023, Supplement 9;GA;C;
Poz-21911;4300;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Bos sp., anatomy indet.);From cattle burial in feature 234;Kowal 14;Poland;"Osipowicz et al 2014, 123; M�ller 2023, Supplement 9";GA;C;
Poz-21912;4105;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial In feature 238;Kowal 14;Poland;"Osipowicz et al 2014, 123; M�ller 2023, Supplement 9";GA;C;
Poz-102997;4075;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From individual in multiple burial (grave 1);Sadowie  23;Poland;"Pasterkiewicz 2021 Tab. 1; M�ller 2023, Supplement 9";GA;C;
Poz-102996;4125;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From individual in multiple burial (grave 5);Sadowie  23;Poland;"Pasterkiewicz 2021 Tab. 1; M�ller 2023, Supplement 9";GA;C;
Poz-111913;3995;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Bos sp., anatomy indet.);From cattle burial in grave 4;Sadowie  23;Poland;"Pasterkiewicz 2021 Tab. 1; M�ller 2023, Supplement 9";GA;C;
Poz-130232;4080;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Bos sp., anatomy indet.);From cattle burial in grave 3;Sadowie  23;Poland;"Pasterkiewicz 2021 Tab. 1; M�ller 2023, Supplement 9";GA;C;
Poz-111914;4185;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Bos sp., anatomy indet.);From cattle burials in grave 7;Sadowie  23;Poland;"Pasterkiewicz 2021 Tab. 1; M�ller 2023, Supplement 9";GA;C;
Ki-5910;4350;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition;Siniarzewo I/I48;Poland;"Szmyt 2001, 27-28; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;
Ki-6221;4030;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition;?egotki 2/A113;Poland;"Szmyt 2001, 27-28; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;
Ki-6914;4305;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit;Bo?ejewice 22/A2;Poland;"Szmyt 2001, 37; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;
Ki-6513;4105;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From grave pit;Piecki 8/18;Poland;Szmyt 2001, 37-38 in M�ller 2023, Supplement 9;GA;C;
Ki-6909;4340;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial;Bra?sk-Chojewo;Poland;Szmyt 2001, 38 in M�ller 2023, Supplement 9;GA;C;
Ki-5952;4150;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition;Stradu? 17;Poland;Szmyt 2001, 38 in M�ller 2023, Supplement 9;GA;C;
GrN-14022;4330;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit feature;Krusza Zamkowa 13;Poland;Szmyt 2001,37-39 in M�ller 2023, Supplement 9;GA;C;
Ki-6508;3990;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit feature;Kuczkowo 5/pit C114;Poland;"Szmyt 2001,37-39; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;
Ki-6509;3910;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit feature;Kuczkowo 1/A132;Poland;"Szmyt 2001,37-39; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;
Ki-6917;4415;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit feature;Kuczkowo 1/A136;Poland;"Szmyt 2001,37-39; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;"R_combine with Ki-6926; 6927; 6928; 6929"
Ki-6926;4370;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit feature;Kuczkowo 1/A136;Poland;"Szmyt 2001,37-39; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;"R_combine with Ki-6917; 6927; 6928; 6929"
Ki-6927;4420;55;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit feature;Kuczkowo 1/A136;Poland;"Szmyt 2001,37-39; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;"R_combine with Ki-6917; 6926; 6928; 6929"
Ki-6928;4385;45;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit feature;Kuczkowo 1/A136;Poland;"Szmyt 2001,37-39; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;"R_combine with Ki-6917; 6926; 6927; 6929"
Ki-6929;4400;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From animal deposition in pit feature;Kuczkowo 1/A136;Poland;"Szmyt 2001,37-39; Szmyt 2000, 289 in M�ller 2023, Supplement 9";GA;C;"R_combine with Ki-6917; 6926; 6927; 6928"
Gd-8036;3820;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, collagen fraction);From animal deposition in feature 38;Opatowice 1/38;Poland;"Szmyt 2001; Szmyt 1996; Szmyt 2013, 255 in M�ller 2023, Supplement 9";GA;C;R-combine with Gd-8035
Gd-8035;3900;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, collagen fraction);From animal deposition in feature 38;Opatowice 1/38;Poland;"Szmyt 2001; Szmyt 2013, 255 in M�ller 2023, Supplement 9";GA;C;R-combine with Gd-8036
Poz-90800;4100;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From feature 3;Gajowizna;Poland;Witkowska 2021 Tab. 2, M�ller 2023, Supplement 9;GA;C;
Poz-90802;4090;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From feature 6;Gajowizna;Poland;Witkowska 2021 Tab. 2, M�ller 2023, Supplement 9;GA;C;
Poz-90804;4140;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From feature 24;Gajowizna;Poland;Witkowska 2021 Tab. 2, M�ller 2023, Supplement 9;GA;C;
Poz-90806;4200;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From feature 27;Gajowizna;Poland;Witkowska 2021 Tab. 2, M�ller 2023, Supplement 9;GA;C;
Poz-90807;4180;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From feature 31;Gajowizna;Poland;Witkowska 2021 Tab. 2, M�ller 2023, Supplement 9;GA;C;
Poz-94493;4135;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From feature 31;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;
Poz-94494;4165;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 32, individual A;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-combine with Poz-94495
Poz-94495;4060;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 32, individual A;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-combine with Poz-94494
Poz-94496;4215;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 32, individual B;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-combine with Poz-94497
Poz-94497;4225;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 32, individual B;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-combine with Poz-94496
Poz-94499;4130;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 32, individual C;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-combine with Poz-94500
Poz-94500;4115;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 32, individual C;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-combine with Poz-94499
Poz-94501;4090;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 32, individual D;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-combine with Poz-944502
Poz-94502;4120;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 32, individual D;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-combine with Poz-94501
Poz-94503;4040;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 33;Malice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;
Poz-90808;4140;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 1;Mierzanowice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;
Poz-90809;4180;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 3;Mierzanowice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;
Poz-90810;4120;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature 127;Mierzanowice 1;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;
Poz-90821;4160;40;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature II;Sandomierz 78;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;
AAR-?;4222;23;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature VIII;Sandomierz 78;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-Combine with Poz-90784
Poz-90784;4155;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature VIII;Sandomierz 78;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;R-Combine with AAR-?
GrN-20927;3950;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature VIII;Sandomierz 78;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;From same context as AAR-? And Poz-90784, but sources suggest a different individual
Poz-90785;4190;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From feature X;Sandomierz 78;Poland;"Witkowska 2021, Tab. 2; M�ller 2023, Supplement 9";GA;C;
Poz-61732;4180;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial II in cemetery C;Las Stocki;Poland;"W?odarczak 2016, 538, M�ller 2023, Supplement 9;";GA;C;
Poz-61734;4040;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From grave;Pu?awy-W?ostowice 1;Poland;"W?odarczak 2016, 538; M�ller 2023, Supplement 9";GA;C;
Poz-58111;4170;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial in feature 1;Trzeszkowice 1;Poland;"W?odarczak 2016, 538; M�ller 2023, Supplement 9";GA;C;
Poz-61738;4045;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial in feature 10 on cemetery;Serebryszcze 23/1;Poland;"W?odarczak 2016, 538; M�ller 2023, Supplement 9; Bronicki 2019, 204-205";GA;C;
Poz-61735;4235;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From cemetery;Klementowice A/1;Poland;"W?odarczak 2016, Tab. 2; M�ller 2023, Supplement 9";GA;C;
Poz-61733;4230;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Animal, anatomy indet.);From cattle burial;Parchatka A;Poland;"W?odarczak 2016, 538; M�ller 2023, Supplement 9";GA;C;
Ki-5434;4010;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial in cist grave;?opiennik Dolny-Kolonia 1;Poland;"W?odarczak and Przyby?a 2013, Tab. 7;  M�ller 2023, Supplement 9 cf.W?odarczak 2016, 538; Bronicki 2019, 204-205";GA;C;
Ki-5433;4170;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);From burial in grave pit;?wierszcz�w 27;Poland;"W?odarczak and Przyby?a 2013, Tab. 7; M�ller 2023, Supplement 9; Bronicki 2019, 204-205";GA;C;
